1,93,
2,355,
3,213,
4,1-684,
5,376,
6,244,
7,1-264,
8,672,
9,1-268,
10,54,
11,374,
12,297,
13,61,
14,43,
15,994,
16,1-242,
17,973,
18,880,
19,1-246,
20,375,
21,32,
22,501,
23,229,
24,1-441,
25,975,
26,591,
27,387,
28,267,
29,55,
30,246,
31,1-284,
32,673,
33,359,
3,226,
35,257,
36,855,
37,237,
38,1,
39,238,
40,1-345,
41,236,
42,235,
43,56,
44,86,
45,61,
46,61,
47,57,
48,269,
49,682,
50,506,
51,385,
52,53,
53,599,
54,357,
55,420,
56,243,
57,45,
58,253,
59,1-767,
60,1-809,
61,670,
62,593,
63,20,
64,503,
65,240,
66,291,
67,372,
68,251,
69,500,
70,298,
71,679,
72,358,
73,33,
74,689,
75,241,
76,220,
77,995,
78,49,
79,233,
80,350,
81,30,
82,299,
83,1-473,
84,1-671,
85,502,
86,44-1481,
87,224,
88,245,
89,592,
90,509,
91,504,
92,852,
93,36,
94,354,
95,91,
96,62,
97,98,
98,964,
99,353,
100,44-1624,
101,972,
102,39,
103,225,
104,1-876,
105,81,
106,44-1534,
107,962,
108,7,
109,254,
110,686,
111,383,
112,965,
113,996,
114,856,
115,371,
116,961,
117,266,
118,231,
119,218,
120,423,
121,370,
122,352,
123,853,
124,389,
125,261,
126,265,
127,60,
128,960,
129,223,
130,356,
131,692,
132,222,
133,230,
134,262,
135,52,
136,691,
137,373,
138,377,
139,976,
140,382,
141,1-664,
142,212,
143,258,
144,95,
145,264,
146,674,
147,977,
148,31,
149,599,
150,687,
151,64,
152,505,
153,227,
154,234,
155,683,
156,850,
157,1-670,
158,47,
159,968,
160,92,
161,680,
162,970,
163,507,
164,675,
165,595,
166,51,
167,63,
168,64,
169,48,
170,351,
171,1-787,
172,974,
173,242,
174,262,
175,40,
176,7,
177,250,
178,590,
179,290,
180,1-869,
181,1-758,
182,590,
183,508,
184,1-784,
185,685,
186,378,
187,239,
188,966,
189,221,
190,381,
191,248,
192,232,
193,65,
194,1-721,
195,421,
196,386,
197,677,
198,252,
199,27,
200,82,
201,211,
202,34,
203,94,
204,249,
205,597,
206,47,
207,268,
208,46,
209,41,
210,963,
211,886,
212,992,
213,255,
214,66,
215,228,
216,690,
217,676,
218,1-868,
219,216,
220,90,
221,993,
222,1-649,
223,688,
224,1-340,
225,256,
226,380,
227,971,
228,44,
229,1,
230,598,
231,998,
232,678,
233,379,
234,58,
235,84,
236,681,
237,212,
238,967,
239,260,
240,263,
